interface_id,name,source_id,target_id,protocol_or_contract,direction,identity_and_policy,data,availability_and_recovery
VV-IF-018,Governed recording playback,VV-EXT-BROWSER,VV-CMP-023,"HTTPS manifest through Console BFF and gateway; recording-scoped Rerun Data Protocol over HTTP/2 or gRPC-Web; authenticated framed complete RRD stream into a Rerun WebViewer LogChannel",inbound,"Gateway policy and audit establish a five-minute actor-and-recording session; standard Redap read token is host-limited; the live stream carries the HttpOnly Console session; enumeration and mutation are denied","One stable dataset-segment URI with immutable shard layers and revision; footer-indexed chunks fetched on demand; recent native Rerun messages under the same recording identity","Derived Redap catalogs rebuild from the durable catalog and shards; live rollover advances the existing stream and WebViewer channel"
VV-IF-019,Stream recording replay,VV-CMP-022,VV-CMP-005,"Read-only RRD files plus SurrealDB catalog",inbound,"Canonical recording URI authorization; classification and labels propagate","H.264 VideoStream samples, timestamps, keyframes",Replay captures one task-start snapshot of complete acknowledged parts
VV-IF-020,Stream native runner,VV-CMP-022,VV-CMP-032,"Closed JSON request and response or newline-delimited event socket",bidirectional,"Operator-admitted graph and mounted configuration; owner-scoped live session or task filesystem boundary","Runner request, H.264 access units, detections, tracks, source indices",One bounded subprocess per live session or replay task
VV-IF-021,DeepStream execution,VV-CMP-032,VV-CMP-044,"GStreamer, CUDA, NVDEC, TensorRT, NVIDIA metadata",bidirectional,"Mounted approved engine and coherent host-driver libraries","H.264 frames, tensors, detections, tracks",No CPU inference fallback and no Triton server process
VV-IF-022,Media provider submission,VV-CMP-019,VV-CMP-043,"Provider HTTPS API",outbound,"Provider credential held only by media server","Bounded provider request and deletion request",Submission binding commits before task detaches
VV-IF-023,Media terminal webhook,VV-CMP-043,VV-CMP-019,"Signed HTTPS webhook",inbound,"Provider signature and unique event validation","Terminal event, output references, usage facts",Webhook-only completion; missing delivery is operational failure
VV-IF-024,Analytical execution,VV-CMP-018,VV-CMP-045,"Embedded DuckDB API and arbitrary SQL",bidirectional,"Owner-derived workspace and locked engine settings","Queries, mutations, ingests, exports, spatial operations",Read work may resume; uncertain mutation is never replayed
VV-IF-025,Map acquisition helper,VV-CMP-020,VV-CMP-031,"JSON subprocess contract and filesystem exchange",bidirectional,"Registered source policy, bounded paths, network controls","OSM, GTFS, maritime, aviation, and authority acquisition products",Acquisition tasks persist durable state and immutable release identities
VV-IF-026,Map routing toolchain,VV-CMP-020,VV-CMP-046,"Local process and HTTP APIs",bidirectional,"Container-local endpoints and governed active release","Routing tiles, route requests, matrices, reachable areas",Active release dependencies are recorded with route products
VV-IF-027,Rerun viewer bridge,VV-CMP-013,VV-CMP-027,"MCP stdio child to Streamable HTTP parent",bidirectional,"Gateway profile controls the external HTTP projection","Viewer MCP tools",Bridge process owns child lifecycle
VV-IF-028,World recording publication,VV-CMP-028,VV-CMP-051,"Pod-loopback Rerun gRPC",outbound,"Producer-local transport; gateway policy later binds the registered application and tenant","SUMO world frames",Recording Hub never polls SUMO
VV-IF-029,SUMO control,VV-CMP-028,VV-CMP-029,"Private TraCI TCP",bidirectional,"Single serialized owner; not published to host","Simulation state, signals, vehicles, network actuation",Uncertain mutating batch execution is interrupted-indeterminate
VV-IF-030,Telemetry export,VV-CMP-PLATFORM,VV-CMP-042,"OTLP gRPC or HTTP",outbound,"Installation-selected exporter and SIEM credentials","Logs, traces, metrics, audit-compatible events",Telemetry excludes tokens, bearer links, prompts, artifact bytes, and provider payloads
VV-IF-031,Local cluster control,VV-CMP-035,VV-CMP-048,"k3d, Docker image, and Kubernetes APIs",outbound,"Local operator access and development Secrets","K3s node, GPU runtime, images, ports, and kubeconfig",k3d is the canonical local Kubernetes substrate
VV-IF-032,Kubernetes deployment control,VV-CMP-036,VV-CMP-048,"Helm and Kubernetes APIs",outbound,"Installation operator RBAC and existing Secrets","Workloads, Services, Ingress, NetworkPolicy, volumes, mTLS annotations",Helm preserves the same service graph and explicit singleton resources
VV-IF-033,Offline transfer,VV-CMP-037,VV-CMP-048,"Verified tar and OCI image archives",outbound,"SHA-256 checksums, resolved identities, SPDX SBOMs","Images, Helm values, schemas, manifests, evidence",Loader performs no network operation
VV-IF-034,Authenticated recording upload,VV-CMP-051,VV-CMP-001,"HTTPS; OAuth discovery; client_credentials with private_key_jwt; versioned protobuf",outbound,"Resource-bound recording:ingest token; producer registration; tenant dataset application label retention and quota policy","Idempotent stream open status append finish operations and RRD batches",At-least-once retry resumes from Hub durable and materialized checkpoints
VV-IF-035,Gateway recording delivery,VV-CMP-001,VV-CMP-005,"Private HTTP; versioned protobuf",outbound,"Gateway policy and audit; short-lived internal assertion addressed to Recording Hub","Authorized producer binding and validated recording operations",Hub fsyncs journal state and materializes the batch before acknowledgement
VV-IF-036,UAV simulation and live-view control,VV-CMP-054,VV-CMP-055,"Pod-private typed HTTP and WebSocket",bidirectional,"Gateway-forwarded caller owns the MCP operation; the simulator adapter is not externally routed","Session state vehicle commands missions logical camera definitions shared camera products H.264 access units capture requests tiles and health","Reads remain available during durable work; viewer authorization is idempotent by actor browser instance and logical camera; uncertain live mutations are interrupted-indeterminate"
VV-IF-037,UAV recording publication,VV-CMP-055,VV-CMP-051,"Pod-loopback Rerun gRPC",outbound,"Producer-local transport; registered application and tenant authority are enforced at gateway upload","Camera H.264 poses transforms IMU vehicles missions collisions and tile diagnostics","Dedicated persistent forwarder queue survives producer or network restart"
VV-IF-038,UAV simulator execution,VV-CMP-055,VV-CMP-056,"Isaac Experimental and Python APIs; USD; Newton; Warp CUDA; Vulkan; NVENC; RTSP; H.264; MAVLink 2",bidirectional,"Pinned dependency identities; provider credential from Kubernetes Secret; canonical Frames identity; hardware GPU required","Rendered tiles authoritative logical cameras shared camera products H.264 bitstreams multirotor state PX4 commands and telemetry","Explicit startup readiness bounded mission execution one native GPU product per streamable camera and no simulator-native public control port"
VV-IF-039,Live Stream publication,VV-EXT-PRODUCER,VV-CMP-022,"RTP 2.0 with RFC 6184 H.264 over admitted UDP",outbound,"Installation NetworkPolicy and one operator-admitted pipeline endpoint","Annex B H.264 access units with 90 kHz timestamps",Live processing begins on arriving frames without resolving or waiting for Recording Hub
VV-IF-040,Recording catalog and shard access,VV-CMP-023,VV-CMP-005,"SurrealDB catalog; read-only footer-indexed RRD shards; complete acknowledged ingest parts",inbound,"Tenant and data-label authorization precedes every physical playback or analysis plan","Logical recording metadata, immutable shard identities, and bounded writing-segment snapshots","Immutable sources remain zero-copy; derived read state is reconstructible; task snapshots never read incomplete writes"
VV-IF-041,Map travel-model handoff,VV-CMP-020,VV-CMP-021,"veoveo.io/travel-model-artifact/v1; map://travel-model identity; artifact occurrence and bytes",outbound,"Caller access and labels apply at both domains; map release mobility profile restriction snapshot units and digest remain immutable","Controlled location and vehicle-type order; cost and transit-time matrices; unavailable arcs; provenance","Optimization resolves the exact governed occurrence through the artifact plane and never recomputes GIS costs"
VV-IF-042,Optimization executor control,VV-CMP-021,VV-CMP-070,"veoveo.io/cuopt-executor/v1; private Unix-domain socket; unsigned 64-bit big-endian length prefix; bounded JSON messages",bidirectional,"Pod-local transport is not a public authority; task owner policy and artifact access remain in the Rust control plane; staged inputs are digest-checked","Health solve cancel and shutdown operations; prepared-problem path digest and bounds; solver result or typed error","The control plane owns durable state and serial GPU admission; missing socket health version or digest fails readiness or the task"
VV-IF-043,cuOpt GPU execution,VV-CMP-070,VV-CMP-071,"Python cuOpt 26.06 API; CUDA 13.2; RMM",bidirectional,"Digest-pinned runtime and one visible NVIDIA GPU are mandatory; the executor accepts only compiled bounded formulations","Routing Solve and BatchSolve arrays; sparse mathematical models; solver controls; routes variables objectives duals and statuses","No CPU solver or GPU-optional mode exists; incompatible cuOpt CUDA driver or GPU identity fails closed"
